#cluster isomer  Coordination    Radius          energy
Ag3	      line	   2.481485	    2.124142	-1.0826254169092457
Ag3	      tria	   3.39516	    1.546737	-1.306841653913713
Ag4	      line	   3.739867	    2.91821	    -2.1532201485500226
Ag4	      diam	   5.657676	    1.918893	-3.1367378776198054
Ag4	      elye	   4.73453	    2.25109		-2.765276008984703
Ag5	      trap	   7.912868	    2.222397	-4.547707911063441
Ag5	      asqr	   7.524603	    2.228073	-4.282931332614019
Ag5	      bipi	   9.363723	    1.89637		-4.1507937761365765
Ag5	      mono	   7.123887	    2.382445	-4.028429899324805
Ag6	      tria	   10.28338	    2.45809		-6.636791845642493
Ag6	      pira	   11.168009    2.216917	-6.550788539647971
Ag6	      casa	   10.31653	    2.420972	-6.371387267000061
Ag6	      trsa	   10.312631    2.420879	-6.371507528071133
Ag6	      cara	   11.165218    2.216741	-6.550496108575701
#Ag6	      bipi	   11.77217	    2.037766	-5.705140957960126
LJ        ones     0.747186     1.318370     0.000000 
LJ        twos     0.957874     0.298621     0.005000 
LJ        thre     0.591272    -0.115967     0.010000 
LJ        four     0.755238     0.350568     0.015000 
